
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1001/1370)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1000/1370)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1004/1375)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1001/1396)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1001/1400)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1045/1446)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1044/1446)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1041/1446)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1041/1446)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1039/1446)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1034/1446)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1033/1446)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1033/1446)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1043/1701)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1040/1701)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1039/1701)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1034/1701)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1030/1701)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1028/1701)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1024/1701)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1022/1701)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1021/1701)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1018/1701)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1012/1701)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1008/1701)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1005/1701)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1002/1704)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1014/1719)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1009/1719)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1006/1719)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1002/1719)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1001/1719)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1001/1722)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1000/1724)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1000/1726)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1001/1730)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1001/1734)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1002/1738)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1000/1738)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1000/1745)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1039/1788)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1031/1788)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1027/1788)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1019/1788)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1015/1788)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1013/1788)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1010/1788)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1009/1788)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1008/1788)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1006/1788)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1000/1788)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1000/1792)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1000/1794)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1011/1807)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1009/1807)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1007/1807)
              0   0%    0.00kB/s    0:00:00 (xfr#0, ir-chk=1004/1807)
